#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Fri Nov 28 17:59:17 2025
# Process ID: 2937681
# Current directory: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output
# Command line: xsim -mode tcl -source {xsim.dir/tb/xsim_script.tcl}
# Log file: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output/xsim.log
# Journal file: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output/xsim.jou
# Running On: eceubuntu2, OS: Linux, CPU Frequency: 2695.572 MHz, CPU Physical cores: 10, Host memory: 99797 MB
#-----------------------------------------------------------
source xsim.dir/tb/xsim_script.tcl
# xsim {tb} -autoloadwcfg -tclbatch {/home/b57zheng/ECE320_LAB/b57zheng-pd6/build/scripts/xsim.tcl}
Time resolution is 1 ps
source /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/scripts/xsim.tcl
## run 2000ns
Simulation started.
Final transfer at 01000590
[W] 00000000 0 00 00000000
[W] 00000000 0 00 00000000
[W] 01000000 1 00 00000000
[W] 01000000 0 00 00000000
[W] 01000000 1 01 00000000
[W] 01000000 1 01 00000000
[W] 01000004 0 00 00000000
[W] 01000004 1 02 00000000
[W] 01000008 0 00 00000000
[W] 01000008 1 1e 00000000
[W] 0100000c 0 00 00000000
[W] 0100000c 1 1d 00000000
[W] 01000010 0 00 00000000
[W] 01000010 1 03 00000002
[W] 01000014 0 00 00000000
[W] 01000014 0 00 010004e0
[W] 01000018 0 00 00000000
[W] 01000018 1 01 00000001
[W] 0100001c 0 00 00000000
[W] 0100001c 1 02 00000001
[W] 01000020 0 00 00000000
[W] 01000020 1 1e 00000001
[W] 01000024 0 00 00000000
[W] 01000024 1 1d 00000002
[W] 01000028 0 00 00000000
[W] 01000028 1 03 00000003
[W] 0100002c 0 00 00000000
[W] 0100002c 0 00 010004e0
[W] 01000030 0 00 00000000
[W] 01000034 1 00 00000000
[W] 01000034 0 00 00000000
[W] 01000034 1 02 00000007
[W] 01000038 0 00 00000000
[W] 01000038 1 1e 00000008
[W] 0100003c 0 00 00000000
[W] 0100003c 1 1d 0000000a
[W] 01000040 0 00 00000000
[W] 01000040 1 03 00000004
[W] 01000044 0 00 00000000
[W] 01000044 0 00 010004e0
[W] 01000048 0 00 00000000
[W] 0100004c 1 00 00000000
[W] 0100004c 0 00 00000000
[W] 0100004c 1 02 ffff8000
[W] 01000050 0 00 00000000
[W] 01000050 1 1e ffff8001
[W] 01000054 0 00 00000000
[W] 01000054 1 1d ffff8000
[W] 01000058 0 00 00000000
[W] 01000058 1 03 00000005
[W] 0100005c 0 00 00000000
[W] 0100005c 0 00 010004e0
[W] 01000060 0 00 00000000
[W] 01000064 1 00 00000000
[W] 01000064 0 00 00000000
[W] 01000064 1 02 00000000
[W] 01000068 0 00 00000000
[W] 01000068 1 1e 00000001
[W] 0100006c 0 00 00000000
[W] 0100006c 1 1d 80000000
[W] 01000070 0 00 00000000
[W] 01000070 1 03 00000006
[W] 01000074 0 00 00000000
[W] 01000074 0 00 010004e0
[W] 01000078 0 00 00000000
[W] 0100007c 1 00 00000000
[W] 0100007c 0 00 00000000
[W] 0100007c 1 02 ffff8000
[W] 01000080 0 00 00000000
[W] 01000080 1 1e ffff8001
[W] 01000084 0 00 00000000
[W] 01000084 1 1d 7fff8000
[W] 01000088 0 00 00000000
[W] 01000088 1 03 00000007
[W] 0100008c 0 00 00000000
[W] 0100008c 0 00 010004e0
[W] 01000090 0 00 00000000
[W] 01000094 1 00 00000000
[W] 01000094 0 00 00000000
[W] 01000094 1 02 00008000
[W] 01000098 0 00 00000000
[W] 01000098 1 02 00007fff
[W] 0100009c 0 00 00000000
[W] 0100009c 1 1e 00008000
[W] 010000a0 0 00 00000000
[W] 010000a0 1 1d 00008000
[W] 010000a4 0 00 00000000
[W] 010000a4 1 1d 00007fff
[W] 010000a8 0 00 00000000
[W] 010000a8 1 03 00000008
[W] 010000ac 0 00 00000000
[W] 010000ac 0 00 010004e0
[W] 010000b0 0 00 00000000
[W] 010000b0 1 01 80000000
[W] 010000b4 0 00 00000000
[W] 010000b4 1 01 7fffffff
[W] 010000b8 0 00 00000000
[W] 010000b8 1 02 00000000
[W] 010000bc 0 00 00000000
[W] 010000bc 1 1e 80000000
[W] 010000c0 0 00 00000000
[W] 010000c0 1 1d 80000000
[W] 010000c4 0 00 00000000
[W] 010000c4 1 1d 7fffffff
[W] 010000c8 0 00 00000000
[W] 010000c8 1 03 00000009
[W] 010000cc 0 00 00000000
[W] 010000cc 0 00 010004e0
[W] 010000d0 0 00 00000000
[W] 010000d0 1 01 80000000
[W] 010000d4 0 00 00000000
[W] 010000d4 1 01 7fffffff
[W] 010000d8 0 00 00000000
[W] 010000d8 1 02 00008000
[W] 010000dc 0 00 00000000
[W] 010000dc 1 02 00007fff
[W] 010000e0 0 00 00000000
[W] 010000e0 1 1e 80007ffe
[W] 010000e4 0 00 00000000
[W] 010000e4 1 1d 80008000
[W] 010000e8 0 00 00000000
[W] 010000e8 1 1d 80007ffe
[W] 010000ec 0 00 00000000
[W] 010000ec 1 03 0000000a
[W] 010000f0 0 00 00000000
[W] 010000f0 0 00 010004e0
[W] 010000f4 0 00 00000000
[W] 010000f8 1 00 00000000
[W] 010000f8 0 00 00000000
[W] 010000f8 1 02 00008000
[W] 010000fc 0 00 00000000
[W] 010000fc 1 02 00007fff
[W] 01000100 0 00 00000000
[W] 01000100 1 1e 80007ffe
[W] 01000104 0 00 00000000
[W] 01000104 1 1d 80008000
[W] 01000108 0 00 00000000
[W] 01000108 1 1d 80007fff
[W] 0100010c 0 00 00000000
[W] 0100010c 1 03 0000000b
[W] 01000110 0 00 00000000
[W] 01000110 0 00 010004e0
[W] 01000114 0 00 00000000
[W] 01000118 1 00 00000000
[W] 01000118 0 00 00000000
[W] 01000118 1 01 7ffffffe
[W] 0100011c 0 00 00000000
[W] 0100011c 1 02 ffff8000
[W] 01000120 0 00 00000000
[W] 01000120 1 1e 7fff7fff
[W] 01000124 0 00 00000000
[W] 01000124 1 1d 7fff8000
[W] 01000128 0 00 00000000
[W] 01000128 1 1d 7fff7fff
[W] 0100012c 0 00 00000000
[W] 0100012c 1 03 0000000c
[W] 01000130 0 00 00000000
[W] 01000130 0 00 010004e0
[W] 01000134 0 00 00000000
[W] 01000138 1 00 00000000
[W] 01000138 0 00 00000000
[W] 01000138 1 02 ffffffff
[W] 0100013c 0 00 00000000
[W] 0100013c 1 1e 7ffffffd
[W] 01000140 0 00 00000000
[W] 01000140 1 1d ffffffff
[W] 01000144 0 00 00000000
[W] 01000144 1 03 0000000d
[W] 01000148 0 00 00000000
[W] 01000148 0 00 010004e0
[W] 0100014c 0 00 00000000
[W] 01000150 1 00 00000000
[W] 01000150 0 00 00000000
[W] 01000150 1 02 00000001
[W] 01000154 0 00 00000000
[W] 01000154 1 1e 7fffffff
[W] 01000158 0 00 00000000
[W] 01000158 1 1d 00000000
[W] 0100015c 0 00 00000000
[W] 0100015c 1 03 0000000e
[W] 01000160 0 00 00000000
[W] 01000160 0 00 010004e0
[W] 01000164 0 00 00000000
[W] 01000168 1 00 00000000
[W] 01000168 0 00 00000000
[W] 01000168 1 02 ffffffff
[W] 0100016c 0 00 00000000
[W] 0100016c 1 1e 7ffffffd
[W] 01000170 0 00 00000000
[W] 01000170 1 1d fffffffe
[W] 01000174 0 00 00000000
[W] 01000174 1 03 0000000f
[W] 01000178 0 00 00000000
[W] 01000178 0 00 010004e0
[W] 0100017c 0 00 00000000
[W] 01000180 1 00 00000000
[W] 01000180 0 00 00000000
[W] 01000180 1 02 80000000
[W] 01000184 0 00 00000000
[W] 01000184 1 02 7fffffff
[W] 01000188 0 00 00000000
[W] 01000188 1 1e fffffffd
[W] 0100018c 0 00 00000000
[W] 0100018c 1 1d 80000000
[W] 01000190 0 00 00000000
[W] 01000190 1 03 00000010
[W] 01000194 0 00 00000000
[W] 01000194 0 00 010004e0
[W] 01000198 0 00 00000000
[W] 0100019c 1 00 00000000
[W] 0100019c 0 00 00000000
[W] 0100019c 1 02 0000000b
[W] 010001a0 0 00 00000000
[W] 010001a0 1 01 80000009
[W] 010001a4 0 00 00000000
[W] 010001a4 1 1d 00000018
[W] 010001a8 0 00 00000000
[W] 010001a8 1 03 00000011
[W] 010001ac 0 00 00000000
[W] 010001ac 0 00 010004e0
[W] 010001b0 0 00 00000000
[W] 010001b4 1 00 00000000
[W] 010001b4 0 00 00000000
[W] 010001b4 1 02 0000000b
[W] 010001b8 0 00 00000000
[W] 010001b8 1 02 80000014
[W] 010001bc 0 00 00000000
[W] 010001bc 1 1d 00000019
[W] 010001c0 0 00 00000000
[W] 010001c0 1 03 00000012
[W] 010001c4 0 00 00000000
[W] 010001c4 0 00 010004e0
[W] 010001c8 0 00 00000000
[W] 010001cc 1 00 00000000
[W] 010001cc 0 00 00000000
[W] 010001cc 1 01 00000012
[W] 010001d0 0 00 00000000
[W] 010001d0 1 1d 0000001a
[W] 010001d4 0 00 00000000
[W] 010001d4 1 03 00000013
[W] 010001d8 0 00 00000000
[W] 010001d8 0 00 010004e0
[W] 010001dc 0 00 00000000
[W] 010001e0 1 00 00000000
[W] 010001e0 0 00 00000000
[W] 010001e0 1 01 0000000d
[W] 010001e4 0 00 00000000
[W] 010001e4 1 02 0000000b
[W] 010001e8 0 00 00000000
[W] 010001e8 1 1e 0000001d
[W] 010001ec 0 00 00000000
[W] 010001ec 1 06 0000001d
[W] 010001f0 0 00 00000000
